file,mode,key,old,new,unit,status,context
data/observations2/contact/contact-02.json,contact-02-em01,3,4,5,knots,replaced,"rotated on the computed speed and held the takeoff airspeed excess to about 4 knots fast, due to the pitch correction through the transition being a shad"
data/observations2/contact/contact-02.json,contact-02-em01,1,9,10,knots,replaced,"irspeed to the level expected at this stage, with the excess settling about 9 knots fast, near the upper part of the one-sided tolerance, due to the scan"
data/observations2/contact/contact-02.json,contact-02-em02,3,4,5,feet,replaced,"SP held lateral deviation to about 4 feet through the takeoff roll, due to the rudder input at power applicatio"
data/observations2/contact/contact-02.json,contact-02-tm09,3,4,5,feet,replaced,"tely neutral during the takeoff roll and held the ground track within about 4 feet of the centerline, due to the backstick input at rotation being intro"
data/observations2/contact/contact-02.json,contact-02-tm10,3,4,5,feet,replaced,"control inputs as airspeed increased and held centerline deviation to about 4 feet, due to one input late in the roll being sized for the aircraft's ear"
data/observations2/contact/contact-02.json,contact-02-tm11,3,4,5,feet,replaced,"the crosswind and kept the wings level with lateral deviation held to about 4 feet, due to the prepositioned aileron being adjusted a shade later than i"
data/observations2/contact/contact-03.json,contact-03-em01,3,110,150,feet,replaced,"SP held the assigned departure altitude within about 110 feet through the transition, due to one correction for a mild tendency to "
data/observations2/contact/contact-03.json,contact-03-em01,1,280,300,feet,replaced,"tude to the level expected at this stage, with the excursion reaching about 280 feet, near the upper part of the tolerance, due to the lead point for the "
data/observations2/contact/contact-03.json,contact-03-em02,3,8,10,knots,replaced,"SP kept the departure airspeed within about 8 knots throughout the climb, due to one power adjustment being made in a sli"
data/observations2/contact/contact-03.json,contact-03-em02,1,19,20,knots,replaced,"peed to the level expected at this stage, with the deviation reaching about 19 knots, near the upper part of the tolerance, due to the cross-check returni"
data/observations2/contact/contact-03.json,contact-03-em03,3,4,5,degrees,replaced,"SP rolled out on the published exit heading within about 4 degrees, due to the drift correction for the wind being applied a beat after "
data/observations2/contact/contact-03.json,contact-03-em03,1,9,10,degrees,replaced," heading to the level expected at this stage, with the error settling about 9 degrees, near the upper part of the tolerance, due to the turn rate not being"
data/observations2/contact/contact-03.json,contact-03-tm01,3,110,150,feet,replaced,"mation all completed, due to the departure profile deviation reaching about 110 feet while the second handle movement was being made. This is consistent w"
data/observations2/contact/contact-03.json,contact-03-tm01,1,280,300,feet,replaced,"ed at this stage, with the departure climb profile deviation reaching about 280 feet, near the upper part of the tolerance, due to the intercockpit call a"
data/observations2/contact/contact-03.json,contact-03-tm02,1,19,20,knots,replaced,"imit to the level expected at this stage, with the margin at the call about 19 knots, near the upper part of the tolerance, due to the flap gauge being cr"
data/observations2/contact/contact-03.json,contact-03-tm03,1,280,300,feet,replaced,"ure climb to the level expected at this stage, with altitude reaching about 280 feet and heading about 9 degrees off, near the upper part of both toleranc"
data/observations2/contact/contact-03.json,contact-03-tm03,1,9,10,degrees,replaced,"cted at this stage, with altitude reaching about 280 feet and heading about 9 degrees off, near the upper part of both tolerances, due to the trim used in "
data/observations2/contact/contact-03.json,contact-03-tm04,3,8,10,knots,replaced," adjusted pitch as required, with the shortfall from the band held to about 8 knots, due to the pitch being lowered a beat later than the ideal point as "
data/observations2/contact/contact-03.json,contact-03-tm04,1,19,20,knots,replaced,"band to the level expected at this stage, with the shortfall reaching about 19 knots below the band before it was corrected, near the upper part of the to"
data/observations2/contact/contact-03.json,contact-03-tm05,3,4,5,degrees,replaced," feet AGL before starting the first turn, with heading held to within about 4 degrees, due to both gates being checked a beat after they were technically m"
data/observations2/contact/contact-03.json,contact-03-tm05,1,9,10,degrees,replaced,"level expected at this stage, with the resulting track error reaching about 9 degrees, near the upper part of the tolerance, due to the turn being started "
data/observations2/contact/contact-03.json,contact-03-tm06,1,9,10,degrees,replaced,"is stage, with the runway alignment error on the takeoff leg reaching about 9 degrees, near the upper part of the tolerance, due to the into-wind aileron b"
data/observations2/contact/contact-03.json,contact-03-tm07,1,280,300,feet,replaced,"eferences to the level expected at this stage, with altitude reaching about 280 feet and heading about 9 degrees off, near the upper part of both toleranc"
data/observations2/contact/contact-03.json,contact-03-tm07,1,9,10,degrees,replaced,"cted at this stage, with altitude reaching about 280 feet and heading about 9 degrees off, near the upper part of both tolerances, due to the scan returnin"
data/observations2/contact/contact-03.json,contact-03-tm08,3,110,150,feet,replaced,"g both with aircraft control so the assigned altitude was held within about 110 feet, due to the operations check beginning a beat before the level off wa"
data/observations2/contact/contact-03.json,contact-03-tm08,1,280,300,feet,replaced,"level off to the level expected at this stage, with altitude reaching about 280 feet during the check, near the upper part of the tolerance, due to the op"
data/observations2/contact/contact-04.json,contact-04-em01,3,110,150,feet,replaced,"he altitudes assigned for the flight with deviations contained inside about 110 feet, due to one correction being applied a beat later than the trend firs"
data/observations2/contact/contact-04.json,contact-04-em01,1,280,300,feet,replaced,"area to the level expected at this stage, with the deviation reaching about 280 feet, near the upper part of the tolerance, due to the altimeter cross-che"
data/observations2/contact/contact-04.json,contact-04-em02,3,8,10,knots,replaced," while working in the assigned area, with deviations contained inside about 8 knots, due to one power change being anticipated a beat later than the atti"
data/observations2/contact/contact-04.json,contact-04-em02,1,19,20,knots,replaced,"area to the level expected at this stage, with the deviation reaching about 19 knots, near the upper part of the tolerance, due to attention concentrated "
data/observations2/contact/contact-04.json,contact-04-em03,3,4,5,degrees,replaced,"gned area on the required exit heading with an error contained inside about 4 degrees, due to the rollout lead being judged a shade short for the bank bein"
data/observations2/contact/contact-04.json,contact-04-em03,1,9,10,degrees,replaced,"the area to the level expected at this stage, with the error settling about 9 degrees, near the upper part of the tolerance, due to the rate of roll not be"
data/observations2/contact/contact-04.json,contact-04-em04,3,110,150,feet,replaced,"ned the assigned area throughout the sortie with altitude held inside about 110 feet, due to one maneuver being planned with a lateral margin a shade narr"
data/observations2/contact/contact-04.json,contact-04-em04,1,280,300,feet,replaced,"ight area to the level expected at this stage, with altitude reaching about 280 feet from the block and the lateral margin at its narrowest during the man"
data/observations2/contact/contact-04.json,contact-04-em05,3,110,150,feet,replaced,"thin the altitudes assigned for the flight, with altitude held inside about 110 feet, due to one reference point being identified a moment after it was re"
data/observations2/contact/contact-04.json,contact-04-em05,1,280,300,feet,replaced,"to the level expected at this stage, with altitude deviation reaching about 280 feet, near the upper part of the tolerance, due to characteristic points b"
data/observations2/contact/contact-04.json,contact-04-em06,1,9,10,degrees,replaced," to the level expected at this stage, with the resulting exit heading about 9 degrees off, near the upper part of the tolerance, due to the navigation sour"
data/observations2/contact/contact-04.json,contact-04-em07,3,110,150,feet,replaced,"the exit heading held within about 3 to 4 degrees and altitude within about 110 feet, due to the fuel and time check being made a beat after the planned d"
data/observations2/contact/contact-04.json,contact-04-em07,1,9,10,degrees,replaced,"o the level expected at this stage, with the exit heading toward base about 9 degrees off and altitude about 280 feet from that assigned, due to attention "
data/observations2/contact/contact-04.json,contact-04-em07,1,280,300,feet,replaced,"e, with the exit heading toward base about 9 degrees off and altitude about 280 feet from that assigned, due to attention held on completing the last sequ"
data/observations2/contact/contact-04.json,contact-04-tm01,3,110,150,feet,replaced,"I deflection to keep the area center identified, altitude held inside about 110 feet, due to the setup being rechecked a beat after the reversal turn rath"
data/observations2/contact/contact-04.json,contact-04-tm01,1,280,300,feet,replaced,"to the level expected at this stage, with altitude deviation reaching about 280 feet, near the upper part of the tolerance, due to the toward-the-CDI rule"
data/observations2/contact/contact-04.json,contact-04-tm02,3,110,150,feet,replaced,"the head of the bearing pointer between the two, altitude held inside about 110 feet, due to the two references being rechecked a beat after the working h"
data/observations2/contact/contact-04.json,contact-04-tm02,1,280,300,feet,replaced,"to the level expected at this stage, with altitude deviation reaching about 280 feet, near the upper part of the tolerance, due to the head of the bearing"
data/observations2/contact/contact-04.json,contact-04-tm03,3,110,150,feet,replaced,"required so range stayed inside the area limits, altitude held inside about 110 feet, due to one range check being made a beat after the heading change th"
data/observations2/contact/contact-04.json,contact-04-tm03,1,280,300,feet,replaced,"to the level expected at this stage, with altitude deviation reaching about 280 feet, near the upper part of the tolerance, due to DME being included in t"
data/observations2/contact/contact-04.json,contact-04-tm04,3,110,150,feet,replaced," area and displayed it before entering the area, altitude held inside about 110 feet, due to the depicted boundaries being checked against the clearance a"
data/observations2/contact/contact-04.json,contact-04-tm04,1,280,300,feet,replaced,"to the level expected at this stage, with altitude deviation reaching about 280 feet, near the upper part of the tolerance, due to the displayed boundarie"
data/observations2/contact/contact-04.json,contact-04-tm05,3,110,150,feet,replaced,"GPS control head to keep adjacent areas in view, altitude held inside about 110 feet, due to the scale being reset a beat after the working position chang"
data/observations2/contact/contact-04.json,contact-04-tm05,1,280,300,feet,replaced,"to the level expected at this stage, with altitude deviation reaching about 280 feet, near the upper part of the tolerance, due to the map scale being lef"
data/observations2/contact/contact-04.json,contact-04-tm06,3,110,150,feet,replaced,"d verified them against the GPS or VOR with DME, altitude held inside about 110 feet, due to one verification being made a beat after the ground reference"
data/observations2/contact/contact-04.json,contact-04-tm06,1,280,300,feet,replaced,"to the level expected at this stage, with altitude deviation reaching about 280 feet, near the upper part of the tolerance, due to the composite crosschec"
data/observations2/contact/contact-04.json,contact-04-tm07,3,8,10,knots,replaced,"ay between the top and bottom area limits, entry airspeed held within about 8 knots and altitude within about 110 feet of the assigned block, due to one "
data/observations2/contact/contact-04.json,contact-04-tm07,3,110,150,feet,replaced," limits, entry airspeed held within about 8 knots and altitude within about 110 feet of the assigned block, due to one repositioning climb being started a"
data/observations2/contact/contact-04.json,contact-04-tm07,1,19,20,knots,replaced,"e area block to the level expected at this stage, with entry airspeed about 19 knots below the optimum band and altitude about 280 feet from the block, du"
data/observations2/contact/contact-04.json,contact-04-tm07,1,280,300,feet,replaced,"ith entry airspeed about 19 knots below the optimum band and altitude about 280 feet from the block, due to the working altitude being allowed to drift to"
data/observations2/contact/contact-04.json,contact-04-tm08,3,8,10,knots,replaced,"ed, pairing energy losers with energy gainers, entry airspeeds within about 8 knots of the planned values and altitude within about 110 feet of the block"
data/observations2/contact/contact-04.json,contact-04-tm08,3,110,150,feet,replaced,"speeds within about 8 knots of the planned values and altitude within about 110 feet of the block, due to one pairing being adjusted a beat after the mism"
data/observations2/contact/contact-04.json,contact-04-tm08,1,19,20,knots,replaced,"xpected at this stage, with entry airspeed for the following maneuver about 19 knots off and altitude about 280 feet from the block, due to the exit airsp"
data/observations2/contact/contact-04.json,contact-04-tm08,1,280,300,feet,replaced,"y airspeed for the following maneuver about 19 knots off and altitude about 280 feet from the block, due to the exit airspeed of one maneuver not being ch"
data/observations2/contact/contact-05.json,contact-05-em01,3,110,150,feet,replaced,SP held the assigned altitude within about 110 feet during straight and level flight and in turns up to 60 degrees of ban
data/observations2/contact/contact-05.json,contact-05-em01,1,290,300,feet,replaced,"bank to the level expected at this stage, with the deviation reaching about 290 feet, near the upper part of the tolerance, due to the back pressure at tu"
data/observations2/contact/contact-05.json,contact-05-em02,3,8,10,knots,replaced,"SP held the briefed airspeed within about 8 knots through all flight phases and maneuvers, due to one power adjustment "
data/observations2/contact/contact-05.json,contact-05-em02,1,19,20,knots,replaced,"urns to the level expected at this stage, with the deviation reaching about 19 knots, near the upper part of the tolerance, due to the power setting being"
data/observations2/contact/contact-05.json,contact-05-em03,3,4,5,degrees,replaced,"SP rolled out within about 4 degrees of the assigned exit heading on each turn, due to the rollout lead be"
data/observations2/contact/contact-05.json,contact-05-em03,1,9,10,degrees,replaced," heading to the level expected at this stage, with the error settling about 9 degrees, near the upper part of the tolerance, due to the rollout lead not be"
data/observations2/contact/contact-05.json,contact-05-em04,1,290,300,feet,replaced,"dder trim to the level expected at this stage, with altitude reaching about 290 feet and heading about 9 degrees off, near the upper part of both toleranc"
data/observations2/contact/contact-05.json,contact-05-em04,1,9,10,degrees,replaced,"cted at this stage, with altitude reaching about 290 feet and heading about 9 degrees off, near the upper part of both tolerances, due to the rudder trim f"
data/observations2/contact/contact-05.json,contact-05-em06,3,8,10,knots,replaced,"ather than movements, altitude held to about 110 feet and airspeed to about 8 knots, due to one input being a shade firmer than the deviation called for "
data/observations2/contact/contact-05.json,contact-05-em07,1,290,300,feet,replaced,"pected at this stage, with the associated altitude deviation reaching about 290 feet, near the upper part of the tolerance, due to one selection being con"
data/observations2/contact/contact-05.json,contact-05-em08,1,290,300,feet,replaced,"pected at this stage, with the associated altitude deviation reaching about 290 feet, near the upper part of the tolerance, due to one check being started"
data/observations2/contact/contact-05.json,contact-05-em10,1,290,300,feet,replaced,"pected at this stage, with the associated altitude deviation reaching about 290 feet, near the upper part of the tolerance, due to the suspect indication "
data/observations2/contact/contact-05.json,contact-05-tm01,3,4,5,degrees,replaced,"imultaneously in the direction of the turn, exit headings made within about 4 degrees, due to rudder pressure being a shade lighter on the rollout than on "
data/observations2/contact/contact-05.json,contact-05-tm01,1,9,10,degrees,replaced,"he level expected at this stage, with the exit heading error settling about 9 degrees, near the upper part of the tolerance, due to rudder pressure being h"
data/observations2/contact/contact-05.json,contact-05-tm02,3,4,5,degrees,replaced,"tred with rudder pressure rather than with bank, exit headings within about 4 degrees, due to one turn carrying a shade more bank than the turn rate requir"
data/observations2/contact/contact-05.json,contact-05-tm02,1,9,10,degrees,replaced,"he level expected at this stage, with the exit heading error settling about 9 degrees, near the upper part of the tolerance, due to the turn and slip indic"
data/observations2/contact/contact-05.json,contact-05-tm03,3,4,5,degrees,replaced,"vanced and applied left rudder on the reductions, heading held within about 4 degrees, due to the rudder input being a shade under the ideal proportion for"
data/observations2/contact/contact-05.json,contact-05-tm03,1,9,10,degrees,replaced," to the level expected at this stage, with the heading error settling about 9 degrees, near the upper part of the tolerance, due to the rudder input not be"
data/observations2/contact/contact-05.json,contact-05-tm04,1,290,300,feet,replaced,"lled rate to the level expected at this stage, with altitude reaching about 290 feet and heading about 9 degrees off, near the upper part of both toleranc"
data/observations2/contact/contact-05.json,contact-05-tm04,1,9,10,degrees,replaced,"cted at this stage, with altitude reaching about 290 feet and heading about 9 degrees off, near the upper part of both tolerances, due to one correction be"
data/observations2/contact/contact-05.json,contact-05-tm05,3,110,150,feet,replaced,"s for the small changes not readily noticed outside, altitude held to about 110 feet, due to the distribution drifting a shade toward the inside during on"
data/observations2/contact/contact-05.json,contact-05-tm05,1,290,300,feet,replaced,"struments to the level expected at this stage, with altitude reaching about 290 feet, near the upper part of the tolerance, due to the crosscheck holding "
data/observations2/contact/contact-05.json,contact-05-tm06,1,290,300,feet,replaced," to the level expected at this stage, with the altitude loss reaching about 290 feet, near the upper part of the tolerance, due to the VSI being crosschec"
data/observations2/contact/contact-05.json,contact-05-tm07,1,290,300,feet,replaced,"d forearm to the level expected at this stage, with altitude reaching about 290 feet, near the upper part of the tolerance, due to the grip tightening sli"
data/observations2/contact/contact-05.json,contact-05-tm08,3,110,150,feet,replaced,"r lever to obtain the desired airspeed, the level-off captured within about 110 feet, due to one lead point being computed a beat after the VSI was checke"
data/observations2/contact/contact-05.json,contact-05-tm08,1,290,300,feet,replaced,"-off to the level expected at this stage, with the overshoot reaching about 290 feet, near the upper part of the tolerance, due to the lead point being re"
data/observations2/contact/contact-06.json,contact-06-em02,1,290,300,feet,replaced," the AGSM to the level expected at this stage, with altitude reaching about 290 feet and exit heading about 9 degrees off during the correction, near the "
data/observations2/contact/contact-06.json,contact-06-em02,1,9,10,degrees,replaced,"at this stage, with altitude reaching about 290 feet and exit heading about 9 degrees off during the correction, near the upper part of both tolerances, du"
data/observations2/contact/contact-06.json,contact-06-em05,1,290,300,feet,replaced,"maneuvers to the level expected at this stage, with altitude reaching about 290 feet and exit heading about 9 degrees off during the correction, near the "
data/observations2/contact/contact-06.json,contact-06-em05,1,9,10,degrees,replaced,"at this stage, with altitude reaching about 290 feet and exit heading about 9 degrees off during the correction, near the upper part of both tolerances, du"
data/observations2/contact/contact-06.json,contact-06-em06,3,110,150,feet,replaced,"SP maintained the assigned altitude within about 110 feet throughout the maneuvers requiring more than 3Gs, keeping the altimet"
data/observations2/contact/contact-06.json,contact-06-em06,1,290,300,feet,replaced,"e 3G to the level expected at this stage, with the deviation reaching about 290 feet, near the upper part of the tolerance, due to the altimeter returning"
data/observations2/contact/contact-06.json,contact-06-em07,3,8,10,knots,replaced,"SP maintained the target airspeed within about 8 knots throughout the maneuvers requiring more than 3Gs, matching power to t"
data/observations2/contact/contact-06.json,contact-06-em07,1,19,20,knots,replaced,"e 3G to the level expected at this stage, with the deviation reaching about 19 knots, near the upper part of the tolerance, due to a power setting being h"
data/observations2/contact/contact-06.json,contact-06-em08,3,4,5,degrees,replaced,"SP exited each high-G maneuver within about 4 degrees of the planned heading, leading the rollout appropriately for the ban"
data/observations2/contact/contact-06.json,contact-06-em08,1,9,10,degrees,replaced,"euvering to the level expected at this stage, with the error reaching about 9 degrees, near the upper part of the tolerance, due to the rollout lead point "
data/observations2/contact/contact-06.json,contact-06-tm02,1,290,300,feet,replaced,"increased to the level expected at this stage, with altitude reaching about 290 feet and exit heading about 9 degrees off during the correction, near the "
data/observations2/contact/contact-06.json,contact-06-tm02,1,9,10,degrees,replaced,"at this stage, with altitude reaching about 290 feet and exit heading about 9 degrees off during the correction, near the upper part of both tolerances, du"
data/observations2/contact/contact-06.json,contact-06-tm03,1,290,300,feet,replaced,"d portion to the level expected at this stage, with altitude reaching about 290 feet and exit heading about 9 degrees off during the correction, near the "
data/observations2/contact/contact-06.json,contact-06-tm03,1,9,10,degrees,replaced,"at this stage, with altitude reaching about 290 feet and exit heading about 9 degrees off during the correction, near the upper part of both tolerances, du"
data/observations2/contact/contact-06.json,contact-06-tm05,3,110,150,feet,replaced,"he AGSM and the personal G-tolerance for the sortie, altitude held to about 110 feet and airspeed to about 8 knots, due to the exercise being flown a shad"
data/observations2/contact/contact-06.json,contact-06-tm06,3,110,150,feet,replaced,"termine G-tolerance before the target G was reached, altitude held to about 110 feet and airspeed to about 8 knots, due to the build-up quickening a shade"
data/observations2/contact/contact-07.json,contact-07-em01,3,110,150,feet,replaced,"SP maintained the entry altitude within about 110 feet throughout slow flight, cross-checking the altimeter and VSI at short"
data/observations2/contact/contact-07.json,contact-07-em01,1,280,300,feet,replaced,"ight to the level expected at this stage, with the deviation reaching about 280 feet, near the upper part of the tolerance, due to the altimeter cross-che"
data/observations2/contact/contact-07.json,contact-07-em02,3,3,,knots,skip-ambiguous: at-3 number must BE C3 (spec 5.9) target=ambiguous(0/5),"established and maintained the slow flight airspeed within about plus 3 knots, power set positively to the value required and refined in small incr"
data/observations2/contact/contact-07.json,contact-07-em02,1,14,15,knots,replaced,"irspeed to the level expected at this stage, with the excess reaching about 14 knots fast, near the upper part of the tolerance, due to the power setting "
data/observations2/contact/contact-07.json,contact-07-em03,3,4,5,degrees,replaced,"SP maintained the reference heading within about 4 degrees throughout slow flight, applying rudder with each power change to kee"
